strategy_id,family,parent_strategy,support_status,support_issue,blocked_reason,declared_controls,translated_controls,unsupported_controls,ignored_controls,missing_declared_controls,changed_parameters,conclusion
HYP_DD20_CTRL_SPY_FALLBACK_25_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,blocked,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,declared_controls_not_fully_accounted,market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|risk_management.max_gross_exposure_pct|risk_management.spy_fallback_only_when_positive_regime|risk_management.spy_fallback_partial_pct,,risk_management.spy_fallback_partial_pct,,market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|risk_management.max_gross_exposure_pct|risk_management.spy_fallback_only_when_positive_regime,risk_management.spy_fallback_partial_pct,requires_engine_support
HYP_DD20_CTRL_SPY_FALLBACK_50_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,blocked,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,declared_controls_not_fully_accounted,market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|risk_management.max_gross_exposure_pct|risk_management.spy_fallback_only_when_positive_regime|risk_management.spy_fallback_partial_pct,,risk_management.spy_fallback_partial_pct,,market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|risk_management.max_gross_exposure_pct|risk_management.spy_fallback_only_when_positive_regime,risk_management.spy_fallback_partial_pct,requires_engine_support
HYP_DD20_CTRL_SPY_FALLBACK_75_V1,spy_fallback_partial,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,blocked,spy_fallback_partial_pct is not supported by the current backtester; requested value=None.,declared_controls_not_fully_accounted,market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|risk_management.max_gross_exposure_pct|risk_management.spy_fallback_only_when_positive_regime|risk_management.spy_fallback_partial_pct,,risk_management.spy_fallback_partial_pct,,market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|risk_management.max_gross_exposure_pct|risk_management.spy_fallback_only_when_positive_regime,risk_management.spy_fallback_partial_pct,requires_engine_support
HYP_DD20_CTRL_TOPN_DYNAMIC_12_8_V1,topn_dynamic,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,requires_engine_support,top_n_dynamic is material but not supported as declared by the engine; entry_rule.type=top_n_dynamic and top_n_strong_regime/top_n_weak_regime would be translated/ignored.,top_n_dynamic is material but not supported as declared by the engine; entry_rule.type=top_n_dynamic and top_n_strong_regime/top_n_weak_regime would be translated/ignored.,entry_rule.benchmark|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type|market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend,entry_rule.top_n|market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|market_filter.soft_weak_regime_top_n,entry_rule.benchmark|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type,entry_rule.benchmark|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type,,entry_rule.top_n|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type|market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|market_filter.soft_weak_regime_top_n,requires_engine_support
HYP_DD20_CTRL_TOPN_DYNAMIC_16_8_V1,topn_dynamic,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,requires_engine_support,top_n_dynamic is material but not supported as declared by the engine; entry_rule.type=top_n_dynamic and top_n_strong_regime/top_n_weak_regime would be translated/ignored.,top_n_dynamic is material but not supported as declared by the engine; entry_rule.type=top_n_dynamic and top_n_strong_regime/top_n_weak_regime would be translated/ignored.,entry_rule.benchmark|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type|market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend,entry_rule.top_n|market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|market_filter.soft_weak_regime_top_n,entry_rule.benchmark|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type,entry_rule.benchmark|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type,,entry_rule.top_n|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type|market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|market_filter.soft_weak_regime_top_n,requires_engine_support
HYP_DD20_CTRL_TOPN_DYNAMIC_18_6_V1,topn_dynamic,DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,requires_engine_support,top_n_dynamic is material but not supported as declared by the engine; entry_rule.type=top_n_dynamic and top_n_strong_regime/top_n_weak_regime would be translated/ignored.,top_n_dynamic is material but not supported as declared by the engine; entry_rule.type=top_n_dynamic and top_n_strong_regime/top_n_weak_regime would be translated/ignored.,entry_rule.benchmark|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type|market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend,entry_rule.top_n|market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|market_filter.soft_weak_regime_top_n,entry_rule.benchmark|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type,entry_rule.benchmark|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type,,entry_rule.top_n|entry_rule.top_n_strong_regime|entry_rule.top_n_weak_regime|entry_rule.type|market_filter.benchmark|market_filter.condition_any|market_filter.require_positive_trend|market_filter.soft_weak_regime_top_n,requires_engine_support
HYP_DD20_CTRL_GUARD_DYNAMIC_12_20_V1,guardrail_dynamic,DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1,runnable,,,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.reduced_exposure_pct_when_active|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.reduced_exposure_pct_when_active|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,,,,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.reduced_exposure_pct_when_active|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,translated_controls_applied
HYP_DD20_CTRL_GUARD_DYNAMIC_13_25_V1,guardrail_dynamic,DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1,runnable,,,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.reduced_exposure_pct_when_active|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.reduced_exposure_pct_when_active|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,,,,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.reduced_exposure_pct_when_active|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,translated_controls_applied
HYP_DD20_CTRL_GUARD_DYNAMIC_14_30_V1,guardrail_dynamic,DD20ADAPT_107_HYP_DD20_CAGR_DYN8055250_SL10_TOPN8_V1,runnable,,,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.reduced_exposure_pct_when_active|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.reduced_exposure_pct_when_active|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,,,,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.reduced_exposure_pct_when_active|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,translated_controls_applied
HYP_DD20_CTRL_DD_COMPRESS_17_45_V1,dd_compression,DD20ADAPT_105_HYP_DD20_CAGR_SL10P5_TOPN8_GUARD18_10_V1,requires_engine_support,"dd_compression declares material max_drawdown_target_pct, but the engine has no direct target-DD control; blocking instead of treating the target as metadata.","dd_compression declares material max_drawdown_target_pct, but the engine has no direct target-DD control; blocking instead of treating the target as metadata.",risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.max_drawdown_target_pct|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,risk_management.equity_drawdown_guard.max_drawdown_target_pct,risk_management.equity_drawdown_guard.max_drawdown_target_pct,,risk_management.equity_drawdown_guard.enabled|risk_management.equity_drawdown_guard.max_drawdown_target_pct|risk_management.equity_drawdown_guard.resume_drawdown_pct|risk_management.equity_drawdown_guard.stop_new_entries_drawdown_pct|risk_management.max_gross_exposure_pct,requires_engine_support
